epoka;błąd kwantyzacji
1;2.1188901605299066
2;2.0062799806795457
3;1.960517725130894
4;1.9333101774216015
5;1.91565266413044
6;1.903636776768977
7;1.895547739263988
8;1.8907914073741339
9;1.8863885920353396
10;1.8806618555072792
11;1.865635949058243
12;1.8354607656030635
13;1.8168250236680488
14;1.8087657749251347
15;1.8032818198167924
16;1.7997291996688065
17;1.7969601477801638
18;1.7948172456412577
19;1.7928938925512106
20;1.7913417938874552
21;1.7894572215120985
22;1.78744153754675
23;1.7856888561935556
24;1.784194696206573
25;1.7828923345473466
26;1.781455457944472
27;1.7801051743298646
28;1.7788981807796609
29;1.7776844641524734
30;1.7767719175492438
31;1.7759717985431653
32;1.7754448252288502
33;1.7750857206304904
34;1.7746021779750718
35;1.7743204951402054
36;1.7741584610705672
37;1.7738032127795458
38;1.7734848129815024
39;1.7731964308944894
40;1.7730422569442787
41;1.7729820760729975
42;1.77288556729569
43;1.7727539419282712
44;1.7725279276475057
45;1.772283034197569
46;1.7720939292653346
47;1.7720330543541705
48;1.7719543783641694
49;1.7719349432452935
50;1.771903549055723
51;1.7717872599032105
52;1.7717328637265375
53;1.7716783977494162
54;1.7716360068150045
55;1.7716380312498028
56;1.7716147043417083
57;1.771574495183303
58;1.7715729481426101
59;1.771572878171601
60;1.7715613428902035
61;1.7715606691808101
62;1.7715583799790118
63;1.7715756796599758
64;1.7716061180172444
65;1.7716208722372921
66;1.7716326395169815
67;1.7716830794224205
68;1.7717178915377674
69;1.7717566924519426
70;1.7717759888689957
71;1.7717506835866335
72;1.7717341850551214
73;1.7717615269967106
74;1.7717880781787476
75;1.7718231189709188
76;1.7718206243030954
77;1.771818346888689
78;1.7718386270127604
79;1.7718984181736697
80;1.7719719548950874
81;1.7720273529155388
82;1.7720897185999427
83;1.7720845876692046
84;1.7720416517936373
85;1.7719687715810801
86;1.771948446486086
87;1.771924097906386
88;1.7719839943506337
89;1.7720261530009844
90;1.7720340374050594
91;1.772031598821288
92;1.7720282431662018
93;1.7720067239925
94;1.7719883107203862
95;1.772031080903137
96;1.7720504780228712
97;1.7720890966019605
98;1.7721113868612326
99;1.772111069706172
100;1.7721122432686995
101;1.7721319925688377
